year,series,event_name,session_type,circuit,rider,team,grid_position,finish_position,points,status,number,time_gap
2022,MotoGP,QAT,Race,QAT,E. Bastianini,Gresini Racing MotoGP,2.0,1.0,25.0,Finished,23,
2022,MotoGP,QAT,Race,QAT,B. Binder,Red Bull KTM Factory Racing,1.0,2.0,20.0,Finished,33,
2022,MotoGP,QAT,Race,QAT,P. Espargaro,Repsol Honda Team,6.0,3.0,16.0,Finished,44,
2022,MotoGP,QAT,Race,QAT,A. Espargaro,Aprilia Racing,5.0,4.0,13.0,Finished,41,
2022,MotoGP,QAT,Race,QAT,M. Marquez,Repsol Honda Team,3.0,5.0,11.0,Finished,93,
2022,MotoGP,QAT,Race,QAT,J. Mir,Team SUZUKI ECSTAR,8.0,6.0,10.0,Finished,36,
2022,MotoGP,QAT,Race,QAT,A. Rins,Team SUZUKI ECSTAR,10.0,7.0,9.0,Finished,42,
2022,MotoGP,QAT,Race,QAT,J. Zarco,Prima Pramac Racing,3.0,8.0,8.0,Finished,5,
2022,MotoGP,QAT,Race,QAT,F. Quartararo,Monster Energy Yamaha MotoGP,2.0,9.0,7.0,Finished,20,
2022,MotoGP,QAT,Race,QAT,T. Nakagami,LCR Honda IDEMITSU,6.0,10.0,6.0,Finished,30,
2022,MotoGP,QAT,Race,QAT,F. Morbidelli,Monster Energy Yamaha MotoGP,12.0,11.0,5.0,Finished,21,
2022,MotoGP,QAT,Race,QAT,M. Viñales,Aprilia Racing,9.0,12.0,4.0,Finished,12,
2022,MotoGP,QAT,Race,QAT,L. Marini,Mooney VR46 Racing Team,7.0,13.0,3.0,Finished,10,
2022,MotoGP,QAT,Race,QAT,A. Dovizioso,WithU Yamaha RNF MotoGP Team,10.0,14.0,2.0,Finished,4,
2022,MotoGP,QAT,Race,QAT,R. Gardner,Tech3 KTM Factory Racing,12.0,15.0,1.0,Finished,87,
2022,MotoGP,QAT,Race,QAT,D. Binder,WithU Yamaha RNF MotoGP Team,14.0,16.0,0.0,Finished,40,
2022,MotoGP,QAT,Race,QAT,F. Di Giannantonio,Gresini Racing MotoGP,11.0,17.0,0.0,Finished,49,
2022,MotoGP,QAT,Race,QAT,R. Fernandez,Tech3 KTM Factory Racing,13.0,18.0,0.0,Finished,25,
2022,MotoGP,QAT,Race,QAT,F. Bagnaia,Ducati Lenovo Team,9.0,,0.0,DNF,63,
2022,MotoGP,QAT,Race,QAT,J. Martin,Prima Pramac Racing,1.0,,0.0,DNF,89,
2022,MotoGP,QAT,Race,QAT,M. Oliveira,Red Bull KTM Factory Racing,4.0,,0.0,DNF,88,
2022,MotoGP,QAT,Race,QAT,A. Marquez,LCR Honda CASTROL,8.0,,0.0,DNF,73,
2022,MotoGP,QAT,Race,QAT,J. Miller,Ducati Lenovo Team,4.0,,0.0,DNF,43,
2022,MotoGP,QAT,Race,QAT,M. Bezzecchi,Mooney VR46 Racing Team,5.0,,0.0,DNF,72,
2022,MotoGP,INA,Race,INA,M. Oliveira,Red Bull KTM Factory Racing,7.0,1.0,25.0,Finished,88,
2022,MotoGP,INA,Race,INA,F. Quartararo,Monster Energy Yamaha MotoGP,1.0,2.0,20.0,Finished,20,
2022,MotoGP,INA,Race,INA,J. Zarco,Prima Pramac Racing,3.0,3.0,16.0,Finished,5,
2022,MotoGP,INA,Race,INA,J. Miller,Ducati Lenovo Team,9.0,4.0,13.0,Finished,43,
2022,MotoGP,INA,Race,INA,A. Rins,Team SUZUKI ECSTAR,8.0,5.0,11.0,Finished,42,
2022,MotoGP,INA,Race,INA,J. Mir,Team SUZUKI ECSTAR,8.0,6.0,10.0,Finished,36,
2022,MotoGP,INA,Race,INA,F. Morbidelli,Monster Energy Yamaha MotoGP,12.0,7.0,9.0,Finished,21,
2022,MotoGP,INA,Race,INA,B. Binder,Red Bull KTM Factory Racing,4.0,8.0,8.0,Finished,33,
2022,MotoGP,INA,Race,INA,A. Espargaro,Aprilia Racing,10.0,9.0,7.0,Finished,41,
2022,MotoGP,INA,Race,INA,D. Binder,WithU Yamaha RNF MotoGP Team,13.0,10.0,6.0,Finished,40,
2022,MotoGP,INA,Race,INA,E. Bastianini,Gresini Racing MotoGP,5.0,11.0,5.0,Finished,23,
2022,MotoGP,INA,Race,INA,P. Espargaro,Repsol Honda Team,6.0,12.0,4.0,Finished,44,
2022,MotoGP,INA,Race,INA,A. Marquez,LCR Honda CASTROL,9.0,13.0,3.0,Finished,73,
2022,MotoGP,INA,Race,INA,L. Marini,Mooney VR46 Racing Team,3.0,14.0,2.0,Finished,10,
2022,MotoGP,INA,Race,INA,F. Bagnaia,Ducati Lenovo Team,1.0,15.0,1.0,Finished,63,
2022,MotoGP,INA,Race,INA,M. Viñales,Aprilia Racing,10.0,16.0,0.0,Finished,12,
2022,MotoGP,INA,Race,INA,R. Fernandez,Tech3 KTM Factory Racing,11.0,17.0,0.0,Finished,25,
2022,MotoGP,INA,Race,INA,F. Di Giannantonio,Gresini Racing MotoGP,2.0,18.0,0.0,Finished,49,
2022,MotoGP,INA,Race,INA,T. Nakagami,LCR Honda IDEMITSU,14.0,19.0,0.0,Finished,30,
2022,MotoGP,INA,Race,INA,M. Bezzecchi,Mooney VR46 Racing Team,4.0,20.0,0.0,Finished,72,
2022,MotoGP,INA,Race,INA,R. Gardner,Tech3 KTM Factory Racing,12.0,21.0,0.0,Finished,87,
2022,MotoGP,INA,Race,INA,J. Martin,Prima Pramac Racing,2.0,,0.0,DNF,89,
2022,MotoGP,INA,Race,INA,A. Dovizioso,WithU Yamaha RNF MotoGP Team,7.0,,0.0,DNF,4,
2022,MotoGP,ARG,Race,ARG,A. Espargaro,Aprilia Racing,1.0,1.0,25.0,Finished,41,
2022,MotoGP,ARG,Race,ARG,J. Martin,Prima Pramac Racing,2.0,2.0,20.0,Finished,89,
2022,MotoGP,ARG,Race,ARG,A. Rins,Team SUZUKI ECSTAR,7.0,3.0,16.0,Finished,42,
2022,MotoGP,ARG,Race,ARG,J. Mir,Team SUZUKI ECSTAR,8.0,4.0,13.0,Finished,36,
2022,MotoGP,ARG,Race,ARG,F. Bagnaia,Ducati Lenovo Team,4.0,5.0,11.0,Finished,63,
2022,MotoGP,ARG,Race,ARG,B. Binder,Red Bull KTM Factory Racing,12.0,6.0,10.0,Finished,33,
2022,MotoGP,ARG,Race,ARG,M. Viñales,Aprilia Racing,5.0,7.0,9.0,Finished,12,
2022,MotoGP,ARG,Race,ARG,F. Quartararo,Monster Energy Yamaha MotoGP,6.0,8.0,8.0,Finished,20,
2022,MotoGP,ARG,Race,ARG,M. Bezzecchi,Mooney VR46 Racing Team,7.0,9.0,7.0,Finished,72,
2022,MotoGP,ARG,Race,ARG,E. Bastianini,Gresini Racing MotoGP,3.0,10.0,6.0,Finished,23,
2022,MotoGP,ARG,Race,ARG,L. Marini,Mooney VR46 Racing Team,3.0,11.0,5.0,Finished,10,
2022,MotoGP,ARG,Race,ARG,T. Nakagami,LCR Honda IDEMITSU,2.0,12.0,4.0,Finished,30,
2022,MotoGP,ARG,Race,ARG,M. Oliveira,Red Bull KTM Factory Racing,6.0,13.0,3.0,Finished,88,
2022,MotoGP,ARG,Race,ARG,J. Miller,Ducati Lenovo Team,11.0,14.0,2.0,Finished,43,
2022,MotoGP,ARG,Race,ARG,A. Marquez,LCR Honda CASTROL,9.0,15.0,1.0,Finished,73,
2022,MotoGP,ARG,Race,ARG,R. Fernandez,Tech3 KTM Factory Racing,11.0,16.0,0.0,Finished,25,
2022,MotoGP,ARG,Race,ARG,R. Gardner,Tech3 KTM Factory Racing,12.0,17.0,0.0,Finished,87,
2022,MotoGP,ARG,Race,ARG,D. Binder,WithU Yamaha RNF MotoGP Team,13.0,18.0,0.0,Finished,40,
2022,MotoGP,ARG,Race,ARG,S. Bradl,Repsol Honda Team,14.0,19.0,0.0,Finished,6,
2022,MotoGP,ARG,Race,ARG,A. Dovizioso,WithU Yamaha RNF MotoGP Team,8.0,20.0,0.0,Finished,4,
2022,MotoGP,ARG,Race,ARG,F. Di Giannantonio,Gresini Racing MotoGP,10.0,,0.0,DNF,49,
2022,MotoGP,ARG,Race,ARG,P. Espargaro,Repsol Honda Team,1.0,,0.0,DNF,44,
2022,MotoGP,ARG,Race,ARG,F. Morbidelli,Monster Energy Yamaha MotoGP,5.0,,0.0,DNF,21,
2022,MotoGP,ARG,Race,ARG,J. Zarco,Prima Pramac Racing,9.0,,0.0,DNF,5,
2022,MotoGP,AME,Race,AME,E. Bastianini,Gresini Racing MotoGP,5.0,1.0,25.0,Finished,23,
2022,MotoGP,AME,Race,AME,A. Rins,Team SUZUKI ECSTAR,2.0,2.0,20.0,Finished,42,
2022,MotoGP,AME,Race,AME,J. Miller,Ducati Lenovo Team,2.0,3.0,16.0,Finished,43,
2022,MotoGP,AME,Race,AME,J. Mir,Team SUZUKI ECSTAR,8.0,4.0,13.0,Finished,36,
2022,MotoGP,AME,Race,AME,F. Bagnaia,Ducati Lenovo Team,3.0,5.0,11.0,Finished,63,
2022,MotoGP,AME,Race,AME,M. Marquez,Repsol Honda Team,9.0,6.0,10.0,Finished,93,
2022,MotoGP,AME,Race,AME,F. Quartararo,Monster Energy Yamaha MotoGP,6.0,7.0,9.0,Finished,20,
2022,MotoGP,AME,Race,AME,J. Martin,Prima Pramac Racing,1.0,8.0,8.0,Finished,89,
2022,MotoGP,AME,Race,AME,J. Zarco,Prima Pramac Racing,4.0,9.0,7.0,Finished,5,
2022,MotoGP,AME,Race,AME,M. Viñales,Aprilia Racing,4.0,10.0,6.0,Finished,12,
2022,MotoGP,AME,Race,AME,A. Espargaro,Aprilia Racing,3.0,11.0,5.0,Finished,41,
2022,MotoGP,AME,Race,AME,B. Binder,Red Bull KTM Factory Racing,7.0,12.0,4.0,Finished,33,
2022,MotoGP,AME,Race,AME,P. Espargaro,Repsol Honda Team,12.0,13.0,3.0,Finished,44,
2022,MotoGP,AME,Race,AME,T. Nakagami,LCR Honda IDEMITSU,10.0,14.0,2.0,Finished,30,
2022,MotoGP,AME,Race,AME,A. Dovizioso,WithU Yamaha RNF MotoGP Team,5.0,15.0,1.0,Finished,4,
2022,MotoGP,AME,Race,AME,F. Morbidelli,Monster Energy Yamaha MotoGP,9.0,16.0,0.0,Finished,21,
2022,MotoGP,AME,Race,AME,L. Marini,Mooney VR46 Racing Team,11.0,17.0,0.0,Finished,10,
2022,MotoGP,AME,Race,AME,M. Oliveira,Red Bull KTM Factory Racing,10.0,18.0,0.0,Finished,88,
2022,MotoGP,AME,Race,AME,R. Fernandez,Tech3 KTM Factory Racing,11.0,19.0,0.0,Finished,25,
2022,MotoGP,AME,Race,AME,R. Gardner,Tech3 KTM Factory Racing,12.0,20.0,0.0,Finished,87,
2022,MotoGP,AME,Race,AME,F. Di Giannantonio,Gresini Racing MotoGP,8.0,21.0,0.0,Finished,49,
2022,MotoGP,AME,Race,AME,D. Binder,WithU Yamaha RNF MotoGP Team,14.0,22.0,0.0,Finished,40,
