year,series,event_name,session_type,circuit,rider,team,grid_position,finish_position,points,status,number,time_gap
2022,MotoGP,AME,Race,AME,E. Bastianini,Gresini Racing MotoGP,,1.0,25.0,Finished,23,41:23.111
2022,MotoGP,AME,Race,AME,A. Rins,Team SUZUKI ECSTAR,,2.0,20.0,Finished,42,+2.058
2022,MotoGP,AME,Race,AME,J. Miller,Ducati Lenovo Team,,3.0,16.0,Finished,43,+2.312
2022,MotoGP,AME,Race,AME,J. Mir,Team SUZUKI ECSTAR,,4.0,13.0,Finished,36,+3.975
2022,MotoGP,AME,Race,AME,F. Bagnaia,Ducati Lenovo Team,,5.0,11.0,Finished,63,+6.045
2022,MotoGP,AME,Race,AME,M. Marquez,Repsol Honda Team,,6.0,10.0,Finished,93,+6.617
2022,MotoGP,AME,Race,AME,F. Quartararo,Monster Energy Yamaha MotoGP,,7.0,9.0,Finished,20,+6.760
2022,MotoGP,AME,Race,AME,J. Martin,Prima Pramac Racing,,8.0,8.0,Finished,89,+8.441
2022,MotoGP,AME,Race,AME,J. Zarco,Prima Pramac Racing,,9.0,7.0,Finished,5,+12.375
2022,MotoGP,AME,Race,AME,M. Viñales,Aprilia Racing,,10.0,6.0,Finished,12,+12.642
2022,MotoGP,AME,Race,AME,A. Espargaro,Aprilia Racing,,11.0,5.0,Finished,41,+12.947
2022,MotoGP,AME,Race,AME,B. Binder,Red Bull KTM Factory Racing,,12.0,4.0,Finished,33,+13.376
2022,MotoGP,AME,Race,AME,P. Espargaro,Repsol Honda Team,,13.0,3.0,Finished,44,+17.961
2022,MotoGP,AME,Race,AME,T. Nakagami,LCR Honda IDEMITSU,,14.0,2.0,Finished,30,+18.770
2022,MotoGP,AME,Race,AME,A. Dovizioso,WithU Yamaha RNF MotoGP Team,,15.0,1.0,Finished,4,+29.319
2022,MotoGP,AME,Race,AME,F. Morbidelli,Monster Energy Yamaha MotoGP,,16.0,0.0,Finished,21,+29.129
2022,MotoGP,AME,Race,AME,L. Marini,Mooney VR46 Racing Team,,17.0,0.0,Finished,10,+29.630
2022,MotoGP,AME,Race,AME,M. Oliveira,Red Bull KTM Factory Racing,,18.0,0.0,Finished,88,+32.002
